MODULE_NAME: /bin/dash
MODULE_START: 0x7f7bf47b0000
+B+: 0x7f7bf47be729 0x7f7bf47be730
+B+: 0x7f7bf47be73c 0x7f7bf47be749
+B+: 0x7f7bf47be74a 0x7f7bf47be74d
+B+: 0x7f7bf47be74e 0x7f7bf47be760
+B+: 0x7f7bf47be761 0x7f7bf47be76b
+B+: 0x7f7bf47be790 0x7f7bf47be79d
+B+: 0x7f7bf47be79e 0x7f7bf47be7a5
+B+: 0x7f7bf47be7a6 0x7f7bf47be7a7
+B+: 0x7f7bf47be890 0x7f7bf47be89d
+B+: 0x7f7bf47be89e 0x7f7bf47be8a9
+B+: 0x7f7bf47be8aa 0x7f7bf47be8bd
+B+: 0x7f7bf47be8c0 0x7f7bf47be8ca
+B+: 0x7f7bf47be8d0 0x7f7bf47be8ef
+B+: 0x7f7bf47be8f0 0x7f7bf47be8f4
+B+: 0x7f7bf47be8f5 0x7f7bf47be90c
+B+: 0x7f7bf47be90d 0x7f7bf47be910
+B+: 0x7f7bf47be911 0x7f7bf47be912
+B+: 0x7f7bf47be913 0x7f7bf47be91b
+B+: 0x7f7bf47be91c 0x7f7bf47be930
+B+: 0x7f7bf47be938 0x7f7bf47be93c
+B+: 0x7f7bf47be980 0x7f7bf47be98f
+B+: 0x7f7bf47be990 0x7f7bf47be99b
+B+: 0x7f7bf47be99c 0x7f7bf47be9ab
+B+: 0x7f7bf47bea80 0x7f7bf47bea93
+B+: 0x7f7bf47bea94 0x7f7bf47beaac
+B+: 0x7f7bf47beaad 0x7f7bf47beabf
+B+: 0x7f7bf47beac0 0x7f7bf47beada
+B+: 0x7f7bf47beadb 0x7f7bf47beae3
+B+: 0x7f7bf47beaec 0x7f7bf47beaf8
+B+: 0x7f7bf47beaf9 0x7f7bf47beb02
+B+: 0x7f7bf47beb03 0x7f7bf47beb06
+B+: 0x7f7bf47beb07 0x7f7bf47beb1a
+B+: 0x7f7bf47bec49 0x7f7bf47bec55
+B+: 0x7f7bf47bec56 0x7f7bf47bec67
+B+: 0x7f7bf47bec82 0x7f7bf47bec93
+B+: 0x7f7bf47bed77 0x7f7bf47bed82
+B+: 0x7f7bf47beda0 0x7f7bf47bedb2
+B+: 0x7f7bf47bedb3 0x7f7bf47beddf
+B+: 0x7f7bf47bede0 0x7f7bf47bedeb
+B+: 0x7f7bf47bedec 0x7f7bf47bedfc
+B+: 0x7f7bf47bedfd 0x7f7bf47bee18
+B+: 0x7f7bf47bee19 0x7f7bf47bee25
+B+: 0x7f7bf47bee26 0x7f7bf47bee2e
+B+: 0x7f7bf47bee2f 0x7f7bf47bee3f
+B+: 0x7f7bf47bee40 0x7f7bf47bee44
+B+: 0x7f7bf47bee45 0x7f7bf47bee50
+B+: 0x7f7bf47bee51 0x7f7bf47bee5d
+B+: 0x7f7bf47bee5e 0x7f7bf47bee77
+B+: 0x7f7bf47beece 0x7f7bf47beed2
+B+: 0x7f7bf47beed3 0x7f7bf47beede
+B+: 0x7f7bf47beee0 0x7f7bf47beeec
+B+: 0x7f7bf47bef60 0x7f7bf47bef7c
+B+: 0x7f7bf47bf120 0x7f7bf47bf128
+B+: 0x7f7bf47bf129 0x7f7bf47bf147
+B+: 0x7f7bf47bf750 0x7f7bf47bf75e
+B+: 0x7f7bf47bf75f 0x7f7bf47bf763
+B+: 0x7f7bf47bf764 0x7f7bf47bf770
+B+: 0x7f7bf47bf771 0x7f7bf47bf777
+B+: 0x7f7bf47bf778 0x7f7bf47bf783
+B+: 0x7f7bf47bf784 0x7f7bf47bf788
+B+: 0x7f7bf47bf789 0x7f7bf47bf78d
+B+: 0x7f7bf47bf78e 0x7f7bf47bf796
+B+: 0x7f7bf47bf797 0x7f7bf47bf79e
+B+: 0x7f7bf47bf890 0x7f7bf47bf892
+B+: 0x7f7bf47bf8a7 0x7f7bf47bf8ab
+B+: 0x7f7bf47bf8ac 0x7f7bf47bf8b2
+B+: 0x7f7bf47bf8b3 0x7f7bf47bf8b6
