MODULE_NAME: /bin/dash
MODULE_START: 0x7f4bdeee1000
+B+: 0x7f4bdeeefda0 0x7f4bdeeefdb2
+B+: 0x7f4bdeeefdb3 0x7f4bdeeefddf
+B+: 0x7f4bdeeefde0 0x7f4bdeeefdeb
+B+: 0x7f4bdeeefdec 0x7f4bdeeefdfc
+B+: 0x7f4bdeeefdfd 0x7f4bdeeefe18
+B+: 0x7f4bdeeefe19 0x7f4bdeeefe25
+B+: 0x7f4bdeeefe26 0x7f4bdeeefe2e
+B+: 0x7f4bdeeefe2f 0x7f4bdeeefe3f
+B+: 0x7f4bdeeefe40 0x7f4bdeeefe44
+B+: 0x7f4bdeeefe45 0x7f4bdeeefe50
+B+: 0x7f4bdeeefe51 0x7f4bdeeefe5d
+B+: 0x7f4bdeeefe5e 0x7f4bdeeefe77
+B+: 0x7f4bdeeefece 0x7f4bdeeefed2
+B+: 0x7f4bdeeefed3 0x7f4bdeeefede
+B+: 0x7f4bdeeefee0 0x7f4bdeeefeec
+B+: 0x7f4bdeeeff60 0x7f4bdeeeff7c
+B+: 0x7f4bdeef0120 0x7f4bdeef0128
+B+: 0x7f4bdeef0129 0x7f4bdeef0147
+B+: 0x7f4bdeef0750 0x7f4bdeef075e
+B+: 0x7f4bdeef075f 0x7f4bdeef0763
+B+: 0x7f4bdeef0764 0x7f4bdeef0770
+B+: 0x7f4bdeef0771 0x7f4bdeef0777
+B+: 0x7f4bdeef0778 0x7f4bdeef0783
+B+: 0x7f4bdeef0784 0x7f4bdeef0788
