MODULE_NAME: /bin/dash
MODULE_START: 0x7f7848104000
+B+: 0x7f78481128d0 0x7f78481128ef
+B+: 0x7f78481128f0 0x7f78481128f4
+B+: 0x7f78481128f5 0x7f784811290c
+B+: 0x7f784811290d 0x7f7848112910
+B+: 0x7f7848112911 0x7f7848112912
+B+: 0x7f7848112913 0x7f784811291b
+B+: 0x7f784811291c 0x7f7848112930
+B+: 0x7f7848112938 0x7f784811293c
+B+: 0x7f7848112980 0x7f784811298f
+B+: 0x7f7848112990 0x7f784811299b
+B+: 0x7f784811299c 0x7f78481129ab
+B+: 0x7f7848112a80 0x7f7848112a93
+B+: 0x7f7848112a94 0x7f7848112aac
+B+: 0x7f7848112aad 0x7f7848112abf
+B+: 0x7f7848112ac0 0x7f7848112ada
+B+: 0x7f7848112adb 0x7f7848112ae3
+B+: 0x7f7848112aec 0x7f7848112af8
+B+: 0x7f7848112af9 0x7f7848112b02
+B+: 0x7f7848112b03 0x7f7848112b06
+B+: 0x7f7848112b07 0x7f7848112b1a
+B+: 0x7f7848112c49 0x7f7848112c55
+B+: 0x7f7848112c56 0x7f7848112c67
+B+: 0x7f7848112c82 0x7f7848112c93
+B+: 0x7f7848112d77 0x7f7848112d82
+B+: 0x7f7848112da0 0x7f7848112db2
+B+: 0x7f7848112db3 0x7f7848112ddf
+B+: 0x7f7848112de0 0x7f7848112deb
+B+: 0x7f7848112dec 0x7f7848112dfc
+B+: 0x7f7848112dfd 0x7f7848112e18
+B+: 0x7f7848112e19 0x7f7848112e25
+B+: 0x7f7848112e26 0x7f7848112e2e
+B+: 0x7f7848112e2f 0x7f7848112e3f
+B+: 0x7f7848112e40 0x7f7848112e44
+B+: 0x7f7848112e45 0x7f7848112e50
+B+: 0x7f7848112e51 0x7f7848112e5d
+B+: 0x7f7848112e5e 0x7f7848112e77
+B+: 0x7f7848112ece 0x7f7848112ed2
+B+: 0x7f7848112ed3 0x7f7848112ede
+B+: 0x7f7848112ee0 0x7f7848112eec
+B+: 0x7f7848112f60 0x7f7848112f7c
+B+: 0x7f7848113120 0x7f7848113128
+B+: 0x7f7848113129 0x7f7848113147
+B+: 0x7f7848113750 0x7f784811375e
+B+: 0x7f784811375f 0x7f7848113763
+B+: 0x7f7848113764 0x7f7848113770
+B+: 0x7f7848113771 0x7f7848113777
+B+: 0x7f7848113778 0x7f7848113783
+B+: 0x7f7848113784 0x7f7848113788
+B+: 0x7f7848113789 0x7f784811378d
+B+: 0x7f784811378e 0x7f7848113796
+B+: 0x7f7848113797 0x7f784811379e
+B+: 0x7f7848113890 0x7f7848113892
+B+: 0x7f78481138a7 0x7f78481138ab
+B+: 0x7f78481138ac 0x7f78481138b2
+B+: 0x7f78481138b3 0x7f78481138b6
+B+: 0x7f78481138d0 0x7f78481138e1
+B+: 0x7f78481138e2 0x7f78481138e6
+B+: 0x7f78481138e7 0x7f78481138eb
+B+: 0x7f78481138ec 0x7f78481138f1
+B+: 0x7f78481138f2 0x7f78481138fa
+B+: 0x7f78481138fb 0x7f78481138fc
+B+: 0x7f7848113940 0x7f7848113948
+B+: 0x7f7848113949 0x7f7848113951
+B+: 0x7f7848113980 0x7f7848113988
+B+: 0x7f7848113989 0x7f784811398a
+B+: 0x7f784811398b 0x7f7848113991
+B+: 0x7f7848113992 0x7f78481139a2
+B+: 0x7f78481139a8 0x7f78481139ac
+B+: 0x7f78481139eb 0x7f7848113a00
+B+: 0x7f7848113a08 0x7f7848113a10
+B+: 0x7f7848113af0 0x7f7848113b11
+B+: 0x7f7848113b12 0x7f7848113b16
+B+: 0x7f7848113b17 0x7f7848113b1d
+B+: 0x7f7848113b1e 0x7f7848113b26
+B+: 0x7f7848113b27 0x7f7848113b34
+B+: 0x7f7848113b35 0x7f7848113b3c
+B+: 0x7f7848113b3d 0x7f7848113b49
+B+: 0x7f7848113b4a 0x7f7848113b5a
+B+: 0x7f7848113b5b 0x7f7848113b63
+B+: 0x7f7848113b7f 0x7f7848113b93
+B+: 0x7f7848113b94 0x7f7848113b9c
+B+: 0x7f7848113be0 0x7f7848113bf7
+B+: 0x7f7848113bf8 0x7f7848113c00
+B+: 0x7f7848113c1b 0x7f7848113c2b
+B+: 0x7f7848113d40 0x7f7848113d5e
+B+: 0x7f7848113d5f 0x7f7848113d6d
+B+: 0x7f7848113d6e 0x7f7848113d72
+B+: 0x7f7848113d7d 0x7f7848113d90
+B+: 0x7f7848113d91 0x7f7848113d95
+B+: 0x7f7848113d96 0x7f7848113d9a
+B+: 0x7f7848113da0 0x7f7848113da4
+B+: 0x7f7848113dd5 0x7f7848113dd9
+B+: 0x7f7848113dda 0x7f7848113dde
+B+: 0x7f7848113df0 0x7f7848113dfb
+B+: 0x7f7848113dfc 0x7f7848113e07
+B+: 0x7f7848113e08 0x7f7848113e10
+B+: 0x7f7848113e2c 0x7f7848113e30
+B+: 0x7f7848113e31 0x7f7848113e36
+B+: 0x7f7848113e41 0x7f7848113e45
+B+: 0x7f7848113e46 0x7f7848113e54
+B+: 0x7f7848113e55 0x7f7848113e5d
+B+: 0x7f7848113e5e 0x7f7848113e62
+B+: 0x7f7848113e63 0x7f7848113e74
+B+: 0x7f7848113e78 0x7f7848113e84
+B+: 0x7f7848113ea0 0x7f7848113ea4
+B+: 0x7f7848113ef0 0x7f7848113f03
+B+: 0x7f7848113f40 0x7f7848113f76
+B+: 0x7f7848113f77 0x7f7848113f82
+B+: 0x7f7848113f83 0x7f7848113f92
+B+: 0x7f784811401b 0x7f7848114031
+B+: 0x7f7848114032 0x7f7848114040
+B+: 0x7f7848114075 0x7f78481140b8
+B+: 0x7f78481140b9 0x7f78481140c3
+B+: 0x7f78481140c4 0x7f78481140cc
+B+: 0x7f78481140cd 0x7f78481140d5
+B+: 0x7f78481140d6 0x7f78481140de
+B+: 0x7f78481140df 0x7f7848114106
+B+: 0x7f7848114107 0x7f7848114133
+B+: 0x7f7848114578 0x7f7848114581
+B+: 0x7f7848114582 0x7f78481145a8
+B+: 0x7f78481145a9 0x7f78481145b6
+B+: 0x7f78481145d0 0x7f78481145e0
+B+: 0x7f78481145e1 0x7f78481145ee
+B+: 0x7f78481145ef 0x7f78481145f3
+B+: 0x7f7848114670 0x7f784811467e
+B+: 0x7f784811467f 0x7f7848114683
+B+: 0x7f7848114684 0x7f7848114692
+B+: 0x7f7848114693 0x7f784811469a
